category,articles_total,articles_geopolitics,tier
Russian Ruble,15,7,other
Sustainable Future: Regulation & Policy,56,7,other
Transportation Leisure,62,7,other
Food Retail,264,7,other
Market Insider,2783,7,other
Polls,86,7,other
High-Net-Worth Investing,190,7,other
Hotels Resorts and Cruise Lines,261,7,other
Household Products,120,7,other
Oil and Gas Exploration,47,7,other
Art and Culture,113,7,other
Internet Retail,145,7,other
Blockchain,96,7,other
Steel Producers,51,7,other
Trading Nation,194,7,other
Singapore Airshow,6,6,other
Trade Balance,17,6,other
Intellectual Property,50,6,other
Euro,817,6,other
Road and Rail,99,6,other
Wheat,13,6,other
Billionaires,68,6,other
Corporate Fraud,75,6,other
Corporate Debt,85,6,other
Education Services,134,6,other
Beyond the Valley ,11,6,other
Automotive Retail,144,6,other
U.S. Dollar,807,6,other
Cable and Satellite,18,6,other
Loans,226,6,other
Machinery,30,6,other
Mad Money,804,6,other
Treasurys,1013,6,other
Auto Parts and Equipment,50,6,other
Consumer Electronics,142,6,other
Consumer Goods,36,6,other
Commercial Banks,98,6,other
Code Wars,9,6,other
Fixed Income,357,6,other
Power Lunch,148,6,other
Philanthropy,97,6,other
College,507,6,other
Discounters,561,5,other
Unemployment,284,5,other
All-America Economic Survey ,42,5,other
Airport Services,49,5,other
View from the Gulf,7,5,other
U.S. Markets Overview,2826,5,other
Jim Cramer,7114,5,other
The News with Shepard Smith,41,5,other
Hospitals,139,5,other
Colleges & Universities,330,5,other
Institutional Investors,44,5,other
Insider Trading,28,5,other
Investment Banking and Brokerage,38,5,other
CNBC Travel,95,5,other
Marriages and Divorces,45,5,other
Asia-Pacific Markets Headlines,25,5,other
Investing In: South Korea,14,5,other
Investing in India,32,5,other
Olympics Annual,24,5,other
Health Insurance,440,5,other
Brent Crude,17,5,other
Business Competition,18,5,other
Real Estate Development,22,5,other
Corporate Bonds,91,5,other
Pre-Markets,37,5,other
Americas FX,642,5,other
Auto Racing,47,5,other
Debt Ceiling,106,5,other
BRICS,9,5,other
Trucking,60,5,other
Earthquakes,40,5,other
Soybeans,8,5,other
Trumponomics,16,5,other
"Beer, Wine & Spirits",114,5,other
Wires,14,4,other
AI Impact,78,4,other
Electric Utilities,46,4,other
Marijuana,43,4,other
Closing Bell - Overtime,117,4,other
The Hacking Economy,4,4,other
Economic Regions,7,4,other
Technology Executive Council,37,4,other
Tennis,46,4,other
Application Software,54,4,other
Eamon Javers,11,4,other
ETF Strategist,227,4,other
Shareholder Activism,34,4,other
Specialty Retail,71,4,other
Chemicals,63,4,other
Celebrities,46,4,other
Credit,208,4,other
Coronavirus: Prevention and treatment,79,4,other
Student Loans,964,4,other
Australian Dollar,681,4,other
Hedge Funds,385,4,other
Stock Buybacks,37,4,other
Credit Ratings,36,4,other
Floods,44,4,other
Europe: Profiles,5,4,other
Entrepreneurs,720,4,other
Retirement,1631,4,other
Foreclosures,549,4,other
Asia: Markets,17,3,other
ETF Street,164,3,other
Gold Overview,342,3,other
Policy updates/proposals,9,3,other
Durable Goods,11,3,other
Drug Retail,31,3,other
Poland Stories,3,3,other
Europe: Television,5,3,other
Industrial Machinery,15,3,other
Hungary Stories,3,3,other
CNBC Sports,38,3,other
The CNBC Conversation,6,3,other
Dividends,284,3,other
Insurance Brokers,14,3,other
ESG and Green Business,69,3,other
Economic Forecasting,12,3,other
Sustainable Returns,47,3,other
Digital Original,94,3,other
Agricultural Producers,26,3,other
Make It - Money,2903,3,other
Beverages,79,3,other
Gold Mining,26,3,other
Europe Markets Headlines,6,3,other
Fashion,56,3,other
Finding Solutions,8,3,other
Welfare,5,3,other
Food Distributors,57,3,other
Rise of the Robots,11,3,other
Silver,795,3,other
Fed Notes,8,3,other
Deficits,25,3,other
Leisure Products,13,2,other
CNBC Travel: Discover,113,2,other
Careers,737,2,other
Dubai Airshow,3,2,other
Your Money,221,2,other
Capital Markets,43,2,other
Economic Measures,6,2,other
Tax Credits,255,2,other
Bank of Canada,4,2,other
Make It - Work,1414,2,other
Make It - Life,2808,2,other
Animals and Wildlife,25,2,other
Inside Wealth: Taxes,5,2,other
Make It - Get Ahead,148,2,other
Livestock,19,2,other
Home Furnishings,22,2,other
National Hockey League,34,2,other
National Basketball Association,132,2,other
National Football League,211,2,other
CNBC Global CFO Council,104,2,other
NASA: The Next Generation,3,2,other
Swiss Franc,96,2,other
Municipal Bonds,90,2,other
Dalian - World Economic Forum,3,2,other
Bailouts,4,2,other
Crypto Watch,6,2,other
Crypto Decoded,33,2,other
Household Appliances,7,2,other
CNBC Investigations,35,2,other
Marketing,45,2,other
Human Resources and Employment Services,209,2,other
Tax Deductions,241,2,other
Make It - Success,2036,2,other
Managing Asia,8,2,other
Managing China,8,2,other
Mobile World Congress,7,2,other
Electronic Components,12,2,other
Tobacco,44,2,other
Top States For Business ,361,2,other
Inside Wealth: Investing,4,2,other
Apparel Accessories and Luxury Goods,35,2,other
Make It - Young Success,70,2,other
Industrial Espionage,4,2,other
Asia: Profiles,12,2,other
Paris Air Show,2,2,other
Construction Materials,19,2,other
Health Care IT,41,2,other
Global Economy: CNBC Explains,3,2,core
Health Care Supplies,62,2,other
Corn,5,2,other
Copyrights,8,2,other
Regional Banks,77,2,other
Research and Consulting Services,5,2,other
Public Relations,3,2,other
Crude Realities,5,2,other
Highlights,3,2,other
Sports Owners & Leagues,134,2,other
Halftime Report,320,2,other
Construction and Farm Machinery,12,2,other
Personal Finance: CNBC Explains,7,2,other
Personal Income,529,2,other
CERAWeek,4,2,other
Pharmas Market,45,2,other
PRO: China Investing,5,2,other
Reserve Bank of Australia,36,2,other
Race for the White House,17,2,other
Railroads,61,2,other
Business Events,5,2,other
Securities,36,2,other
Financial Reform,5,2,other
Budget Crisis,4,2,other
Rice,10,2,other
Investing in: Israel,2,2,other
Corporate Leaders,83,2,other
Broadcasting,114,2,other
Central Banking CNBC Explains,12,2,other
U.S. Video,4,2,other
Earnings Announcements,29,2,other
Earnings Forecast,23,2,other
Access: Middle East,1,1,other
Wildfires,42,1,other
Adaptation,84,1,other
Video: All,2,1,other
Earnings Rundown,7,1,other
Video,1,1,other
Urban Innovation,5,1,other
US: Trading,9,1,other
U.S. Market Indexes,1,1,other
Certificate of Deposit,96,1,other
Casinos and Gaming,110,1,other
Cigarette Wars,1,1,other
Chinese Yuan,197,1,other
China's Corporate Spy War,2,1,other
China News Section Parent,2,1,other
Iraq War,1,1,other
Investor Toolkit,12,1,other
Investment Fraud,84,1,other
Investing in Brazil 2011,2,1,other
Water Utilities,13,1,other
Accounting,10,1,other
Corrections,1,1,other
Credit Market,7,1,other
Romania Stories,1,1,other
British Pound,707,1,other
Bribery,8,1,other
Boxing,8,1,other
Retirement Redefined,25,1,other
Residential REITs,7,1,other
Business Expansion,5,1,other
Fueling Change,4,1,other
Copper,16,1,other
Consumer Services,15,1,other
Footwear,48,1,other
Food and Staples Retailing,16,1,other
Building Products,6,1,other
Pro: The Family Office Investor,3,1,other
Going Global,2,1,other
Financial Audit,1,1,other
Financial Advisors,1271,1,other
Financial Advisor Council,525,1,other
Fall of Lehman Brothers,1,1,other
FA Playbook,37,1,other
Slovakia Stories,1,1,other
Books,39,1,other
Securing Our Future,2,1,other
Sales,10,1,other
Global Youth Employment Agenda,1,1,other
Global Opportunities: Japan,11,1,other
Health Tips and Wellness Advice,101,1,other
Coronavirus: Diagnosis,54,1,other
Real Estate Services,11,1,other
Pro: Earnings Playbook,38,1,other
REITs,47,1,other
Prospect China,1,1,other
Pro View,33,1,other
Executive Decisions with Steve Sedgwick,8,1,other
Crime Inc.: Human Trafficking,3,1,other
Executive Compensation,28,1,other
Evolve,15,1,other
European Debt Crisis,1,1,other
Sports Media,209,1,other
Sports Apparel & Partnerships,64,1,other
Soybean Oil,2,1,other
Social Security,454,1,other
Big Tech's New Rules,5,1,other
Big Data,8,1,other
Beyond the Valley: Episode transcripts,3,1,other
Home Business,16,1,other
Private Equity and Hedge Funds,69,1,other
Price Fixing,2,1,other
CES,2,1,other
CERAWeek 2012 - US Business News ,1,1,other
Business of the Beijing Olympics,2,1,other
Business Turkey,2,1,other
Construction and Engineering,11,1,other
Computers and Peripherals,6,1,other
Computer and Electronics Retail,11,1,other
Health Care Services,81,1,other
